"","x"
"982",1517
"983",1300
"984",1330
"985",600
"986",800
"987",1500
"988",200
"989",1800
"990",1200
"991",1800
"992",1500
"993",1545
"994",700
"995",1830
"996",2130
"997",1400
"998",415
"999",1800
"1000",211
"1001",255
"1002",2200
"1003",945
"1004",830
"1005",2300
"1006",1200
"1007",830
"1008",1400
"1009",1
"1010",400
"1011",2000
"1012",1300
"1013",1930
"1014",300
"1015",1500
"1016",1330
"1017",1200
"1018",1800
"1019",2300
"1020",945
"1021",1200
"1022",700
"1023",1500
"1024",345
"1025",950
"1026",1955
"1027",1910
"1028",1500
"1029",1330
"1030",2200
"1031",2315
"1032",330
"1033",200
"1034",2130
"1035",2020
"1036",1720
"1037",200
"1038",2200
"1039",1700
"1040",1
"1041",900
"1042",1530
"1043",1600
"1044",1340
"1045",2215
"1046",300
"1047",1230
"1048",1500
"1049",400
"1050",600
"1051",2015
"1052",1630
"1053",1600
"1054",1730
"1055",1200
"1056",120
"1057",2120
"1058",135
"1059",1415
"1060",430
"1061",1645
"1062",730
"1063",1800
"1064",1600
"1065",1620
"1066",1200
"1067",1730
"1068",2000
"1069",800
"1070",1620
"1071",2300
"1072",1230
"1073",100
"1074",1100
"1075",800
"1076",200
"1077",2000
"1078",1400
"1079",1100
"1080",600
"1081",1
"1082",1600
"1083",300
"1084",1830
"1085",1600
"1086",30
"1087",1530
"1088",430
"1089",110
"1090",2055
"1091",400
"1092",500
"1093",200
"1094",1330
"1095",1520
"1096",1500
"1097",1
"1098",2100
"1099",2045
"1100",1500
"1101",25
"1102",2330
"1103",2055
"1104",1500
"1105",948
"1106",2215
"1107",800
"1108",1648
"1109",2310
"1110",300
"1111",1700
"1112",1100
"1113",2100
"1114",1140
"1115",1200
"1116",1250
"1117",2130
"1118",1430
"1119",1345
"1120",850
"1121",1617
"1122",1530
"1123",1315
"1124",1300
"1125",1300
"1126",145
"1127",1200
"1128",1430
"1129",1900
"1130",1730
"1131",650
"1132",1330
"1133",1507
"1134",230
"1135",1000
"1136",2000
"1137",600
"1138",1515
"1139",2000
"1140",1540
"1141",1000
"1142",2345
"1143",2030
"1144",1600
"1145",1655
"1146",2350
"1147",1230
"1148",500
"1149",1200
"1150",2100
"1151",930
"1152",845
"1153",140
"1154",930
"1155",1600
"1156",200
"1157",1227
"1158",200
"1159",950
"1160",740
"1161",1830
"1162",1930
"1163",1600
"1164",100
"1165",1100
"1166",2300
"1167",1200
"1168",1400
"1169",100
"1170",300
"1171",1600
"1172",1400
"1173",1610
